                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63877,                 1.3887,                    1.5,                 1.1781,                0.79589,                      1,                  0.995,                0.64736,                0.79589,                      1,                  0.995,                0.79546,                 1.2472,                 1.5219,                 4.9849,                 2.4965,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.0829,                 1.0436,                 1.6482,                 1.4364,                0.01824,                0.38095,                 0.0115,                 0.0024,                0.01406,                0.19048,                0.00699,                0.00195,                 3.5589,                 12.228,                 12.553,                 5.4112,              0.0012982,              0.0012982,              0.0012982
                      3,                 2.0922,                 1.8515,                 2.3104,                 2.2874,                0.02367,                0.28571,                0.01457,                0.00556,                0.02367,                0.28571,                0.01521,                0.00809,                 2.1832,                 2.2145,                 37.512,                 4.0046,              0.0019211,              0.0019211,              0.0019211
                      4,                 1.9709,                  1.918,                 2.0599,                 2.3031,                0.00234,                0.66667,                0.00242,                0.00106,                0.00051,                0.14286,                0.00028,                  3e-05,                 2.6037,                 271.41,                 1783.8,                 17.806,               0.001901,               0.001901,               0.001901
                      5,                 1.8354,                 1.9538,                 2.0202,                 2.1577,                0.10819,                0.61905,                0.11132,                0.04249,                0.09591,                0.57143,                0.10062,                0.02629,                 1.8584,                 10.284,                 5.4612,                 4.0048,               0.001901,               0.001901,               0.001901
                      6,                 1.6574,                 1.5734,                 1.8895,                 2.0239,                0.81083,                0.57143,                 0.7145,                0.33775,                0.72512,                0.71429,                0.73217,                0.33204,                 1.7275,                 4.6701,                 3.6537,                 3.1849,               0.001868,               0.001868,               0.001868
                      7,                 1.6137,                 1.5206,                 1.7675,                  1.975,                0.03012,                0.52381,                0.01904,                0.00596,                0.04773,                0.47619,                0.03342,                0.00966,                 3.4184,                 2.0531,                 9.7617,                 4.1151,               0.001835,               0.001835,               0.001835
                      8,                 1.3548,                 1.6118,                 1.4755,                 1.7594,                0.01737,                0.47619,                0.01596,                 0.0058,                0.02363,                0.61905,                 0.0217,                0.00891,                 2.5112,                 2.5513,                 16.639,                  4.373,               0.001802,               0.001802,               0.001802
                      9,                 1.3528,                 1.3231,                 1.4564,                 1.7627,                0.56645,                0.71429,                0.62453,                0.37752,                0.56645,                0.71429,                 0.6319,                0.38541,                  1.218,                 2.4987,                 1.8013,                 2.1668,               0.001769,               0.001769,               0.001769
                     10,                 1.2715,                 1.3018,                  1.255,                 1.6688,                0.81987,                0.86728,                0.92702,                0.44171,                0.81987,                0.86728,                0.92702,                0.55682,                 1.4347,                 2.0494,                 1.8079,                 2.8685,               0.001736,               0.001736,               0.001736
